Date,Time,Open,High,Low,Close,Volume
2026-04-20,05:00:00,440.4,440.56,440.12,440.15,0
2026-04-20,06:00:00,440.2,440.8644,439.4,440.65,0
2026-04-20,07:00:00,440.7,445.93,439.5583,439.8,0
2026-04-20,08:00:00,439.71,442.86,439.71,441.43,0
2026-04-20,09:00:00,441.4,445.93,440.8,442.25,0
2026-04-20,09:30:00,443.1300048828125,443.3599853515625,441.4200134277344,443.0199890136719,2476487
2026-04-20,10:30:00,443.01031494140625,443.4200134277344,440.05999755859375,441.6499938964844,1649878
2026-04-20,11:30:00,441.6199951171875,441.69000244140625,440.1839904785156,440.9150085449219,690400
2026-04-20,12:30:00,440.94000244140625,441.9200134277344,440.7250061035156,441.80499267578125,1295573
2026-04-20,13:30:00,441.7799987792969,442.3399963378906,441.32000732421875,442.1300048828125,661951
2026-04-20,14:30:00,442.1600036621094,442.82000732421875,441.8900146484375,442.4599914550781,575938
2026-04-20,15:30:00,442.4599914550781,442.4700012207031,441.69000244140625,442.1698913574219,764079
2026-04-20,16:00:00,442.09,473.008,411.8003,442.6,0
2026-04-20,17:00:00,442.7,442.78,411.8003,442.72,0
2026-04-20,18:00:00,442.72,443.81,414.5507,443.35,0
2026-04-20,19:00:00,443.37,443.7779,442.6,442.66,0
2026-04-21,04:00:00,440.05,440.7,438.35,439.65,0
2026-04-21,05:00:00,439.6,440.13,439.15,439.17,0
2026-04-21,06:00:00,439.17,439.8,439.1,439.27,0
2026-04-21,07:00:00,439.3,439.96,438.6,439.27,0
2026-04-21,08:00:00,439.3,440.65,438.91,439.0983,0
2026-04-21,09:00:00,439.05,439.86,437.5,437.63,0
2026-04-21,09:30:00,438.54998779296875,440.2449951171875,438.010009765625,438.44000244140625,1368555
2026-04-21,10:30:00,438.4200134277344,438.5299987792969,433.760009765625,435.510009765625,1903347
2026-04-21,11:30:00,435.489990234375,436.20001220703125,433.3800048828125,433.54998779296875,721265
2026-04-21,12:30:00,433.5299987792969,434.1400146484375,431.3399963378906,431.6600036621094,738216
2026-04-21,13:30:00,431.6400146484375,433.7099914550781,430.94000244140625,431.32000732421875,1832757
2026-04-21,14:30:00,431.3599853515625,433.0,431.3599853515625,432.9150085449219,588376
2026-04-21,15:30:00,432.95001220703125,433.0199890136719,428.7099914550781,429.7099914550781,1564202
2026-04-21,16:00:00,429.57,433.5,408.4699,433.3,0
2026-04-21,17:00:00,433.4519,434.51,408.4699,434.494,0
2026-04-21,18:00:00,433.95,434.51,429.57,433.3,0
2026-04-21,19:00:00,433.4875,435.5,433.03,435.1,0
2026-04-22,04:00:00,436.0,438.23,435.25,436.57,0
2026-04-22,05:00:00,436.62,437.3165,436.34,436.8,0
2026-04-22,06:00:00,436.807,437.3,435.8,436.6,0
2026-04-22,07:00:00,436.55,437.19,429.57,436.763,0
2026-04-22,08:00:00,436.85,437.1,435.95,436.56,0
2026-04-22,09:00:00,436.5,436.62,429.57,435.51,0
2026-04-22,09:30:00,436.2699890136719,437.1700134277344,435.3900146484375,435.6099853515625,1267079
2026-04-22,10:30:00,435.67999267578125,435.739990234375,434.2799987792969,434.8999938964844,1216870
2026-04-22,11:30:00,434.8299865722656,434.91839599609375,433.79998779296875,434.04998779296875,617683
2026-04-22,12:30:00,434.07000732421875,435.2099914550781,433.7799987792969,434.8450012207031,262791
2026-04-22,13:30:00,434.8500061035156,435.1499938964844,434.30999755859375,434.3800048828125,480726
2026-04-22,14:30:00,434.3999938964844,436.20001220703125,434.3699951171875,435.7099914550781,541218
2026-04-22,15:30:00,435.7300109863281,435.7349853515625,435.0150146484375,435.3179931640625,549595
2026-04-22,16:00:00,435.26,439.241,419.2239,435.25,0
2026-04-22,17:00:00,435.34,442.1677,415.4599,435.2,0
2026-04-22,18:00:00,435.21,435.75,433.82,434.0,0
2026-04-22,19:00:00,434.033,434.52,433.7,434.2,0
2026-04-23,04:00:00,432.0,435.26,430.85,433.0,0
2026-04-23,05:00:00,433.0,433.0,431.05,431.6,0
2026-04-23,06:00:00,431.65,431.7588,430.1,430.35,0
2026-04-23,07:00:00,430.4,435.26,430.14,431.48,0
2026-04-23,08:00:00,431.5,435.15,431.26,434.55,0
2026-04-23,09:00:00,434.6,435.52,433.64,433.87,0
2026-04-23,09:30:00,433.9599914550781,435.2912902832031,433.0299987792969,434.3500061035156,1241927
2026-04-23,10:30:00,434.29998779296875,435.25,433.8797912597656,434.5400085449219,490581
2026-04-23,11:30:00,434.510009765625,434.70001220703125,432.95001220703125,433.6099853515625,301289
2026-04-23,12:30:00,433.57000732421875,434.8450012207031,431.8800048828125,432.1600036621094,635912
2026-04-23,13:30:00,432.1300048828125,433.5400085449219,428.239990234375,433.0350036621094,746248
2026-04-23,14:30:00,433.07000732421875,433.3699951171875,430.7900085449219,431.4800109863281,593835
2026-04-23,15:30:00,431.4949951171875,431.6300048828125,430.4800109863281,431.07000732421875,663965
2026-04-23,16:00:00,431.04,459.6141,417.1627,430.94,0
2026-04-23,17:00:00,430.4,458.9926,406.1563,431.3,0
2026-04-23,18:00:00,431.2,431.6477,430.6,430.91,0
2026-04-23,19:00:00,430.8,431.6025,430.2638,431.1,0
2026-04-24,04:00:00,430.15,431.3,427.724,430.75,0
2026-04-24,05:00:00,430.8,431.25,429.67,429.8978,0
2026-04-24,06:00:00,429.9,430.35,429.28,429.55,0
2026-04-24,07:00:00,429.57,433.15,429.56,432.25,0
2026-04-24,08:00:00,432.3,432.6995,430.68,431.7,0
2026-04-24,09:00:00,431.75,432.16,431.0103,431.19,0
