Date,Time,Open,High,Low,Close,Volume
2026-04-13,04:00:00,258.82,261.97,257.67,258.95,0
2026-04-13,05:00:00,258.92,259.21,258.66,258.85,0
2026-04-13,06:00:00,258.83,259.02,258.74,258.92,0
2026-04-13,07:00:00,258.9,261.3,258.77,259.11,0
2026-04-13,08:00:00,259.1,259.44,258.64,259.4,0
2026-04-13,09:00:00,259.41,261.3,259.37,260.06,0
2026-04-13,09:30:00,260.239990234375,262.4700012207031,260.0199890136719,262.4100036621094,6264522
2026-04-13,10:30:00,262.42999267578125,262.6300048828125,261.7099914550781,261.75,2242705
2026-04-13,11:30:00,261.75,263.2900085449219,261.57000732421875,263.1700134277344,2011116
2026-04-13,12:30:00,263.1700134277344,264.32000732421875,262.9700012207031,263.9200134277344,2737993
2026-04-13,13:30:00,263.9200134277344,264.1600036621094,263.6549987792969,263.9700012207031,1728705
2026-04-13,14:30:00,263.95001220703125,264.8299865722656,263.8800048828125,264.7842102050781,3363276
2026-04-13,15:30:00,264.7799987792969,265.3599853515625,264.6400146484375,265.04998779296875,4148120
2026-04-13,16:00:00,265.07,265.38,264.89,265.38,0
2026-04-13,17:00:00,265.23,265.39,265.07,265.38,0
2026-04-13,18:00:00,265.38,265.9,265.38,265.83,0
2026-04-13,19:00:00,265.87,266.07,265.55,265.65,0
2026-04-14,04:00:00,266.07,266.36,265.07,266.27,0
2026-04-14,05:00:00,266.3,266.67,266.23,266.4,0
2026-04-14,06:00:00,266.3,266.38,266.14,266.36,0
2026-04-14,07:00:00,266.35,266.59,265.07,266.5,0
2026-04-14,08:00:00,266.49,267.37,266.47,267.2,0
2026-04-14,09:00:00,267.32,267.76,266.88,267.09,0
2026-04-14,09:30:00,266.7900085449219,268.260009765625,266.2799987792969,268.1549987792969,6169908
2026-04-14,10:30:00,268.17999267578125,269.0400085449219,268.1499938964844,268.8900146484375,3173112
2026-04-14,11:30:00,268.8949890136719,269.4200134277344,268.7650146484375,268.94000244140625,2752901
2026-04-14,12:30:00,268.92999267578125,268.9700012207031,268.260009765625,268.8399963378906,1572643
2026-04-14,13:30:00,268.8399963378906,268.9100036621094,267.69000244140625,267.9100036621094,3220473
2026-04-14,14:30:00,267.9100036621094,268.80499267578125,267.8500061035156,268.7850036621094,2356003
2026-04-14,15:30:00,268.7799987792969,268.9100036621094,268.42999267578125,268.69000244140625,3130533
2026-04-14,16:00:00,268.69,268.78,265.2296,268.71,0
2026-04-14,17:00:00,268.63,268.77,251.82,268.72,0
2026-04-14,18:00:00,268.63,268.76,268.46,268.64,0
2026-04-14,19:00:00,268.6382,268.98,268.59,268.7599,0
2026-04-15,04:00:00,268.55,268.83,268.1,268.58,0
2026-04-15,05:00:00,268.58,268.69,268.18,268.32,0
2026-04-15,06:00:00,268.31,268.53,267.9,267.94,0
2026-04-15,07:00:00,267.95,268.72,267.86,268.25,0
2026-04-15,08:00:00,268.19,269.04,267.9799,268.32,0
2026-04-15,09:00:00,268.32,268.84,268.32,268.75,0
2026-04-15,09:30:00,268.7799987792969,269.5849914550781,268.1835021972656,269.2449951171875,5452082
2026-04-15,10:30:00,269.25,269.32000732421875,268.2799072265625,268.9949951171875,2549693
2026-04-15,11:30:00,269.0,269.010009765625,268.19500732421875,268.7099914550781,3314145
2026-04-15,12:30:00,268.7149963378906,268.8349914550781,267.5899963378906,268.30999755859375,2403031
2026-04-15,13:30:00,268.29998779296875,269.0199890136719,268.114990234375,268.8550109863281,2115065
2026-04-15,14:30:00,268.8550109863281,269.2799987792969,268.55999755859375,269.0950012207031,2419875
2026-04-15,15:30:00,269.0899963378906,269.510009765625,268.8500061035156,269.4100036621094,2298490
2026-04-15,16:00:00,269.42,269.5239,269.05,269.33,0
2026-04-15,17:00:00,269.25,269.5,269.15,269.36,0
2026-04-15,18:00:00,269.35,269.66,269.18,269.635,0
2026-04-15,19:00:00,269.67,269.85,269.57,269.83,0
2026-04-16,04:00:00,269.74,269.98,269.34,269.39,0
2026-04-16,05:00:00,269.36,269.48,269.18,269.35,0
2026-04-16,06:00:00,269.4,269.76,269.36,269.65,0
2026-04-16,07:00:00,269.61,269.71,269.37,269.71,0
2026-04-16,08:00:00,269.77,269.95,269.4,269.62,0
2026-04-16,09:00:00,269.55,269.78,269.02,269.33,0
2026-04-16,09:30:00,269.45001220703125,270.3500061035156,268.19000244140625,268.4800109863281,6788757
2026-04-16,10:30:00,268.45001220703125,270.07000732421875,268.04998779296875,269.42999267578125,2795749
2026-04-16,11:30:00,269.3999938964844,270.20001220703125,269.2699890136719,269.70001220703125,5573936
2026-04-16,12:30:00,269.70001220703125,269.79998779296875,268.5,269.0400085449219,4194352
2026-04-16,13:30:00,269.0400085449219,269.5,268.79998779296875,268.9930114746094,3290559
2026-04-16,14:30:00,269.0150146484375,269.92999267578125,269.0150146484375,269.71990966796875,2224858
2026-04-16,15:30:00,269.7300109863281,270.0899963378906,269.67999267578125,270.0,4475176
2026-04-16,16:00:00,269.95,270.32,269.5274,270.26,0
2026-04-16,17:00:00,270.25,270.26,269.95,270.1061,0
2026-04-16,18:00:00,270.18,270.46,270.18,270.41,0
2026-04-16,19:00:00,270.42,270.67,270.37,270.5106,0
2026-04-17,04:00:00,270.71,271.15,269.95,271.15,0
2026-04-17,05:00:00,271.11,271.39,271.0,271.31,0
2026-04-17,06:00:00,271.26,271.38,271.08,271.236,0
2026-04-17,07:00:00,271.2,271.6,269.95,271.51,0
2026-04-17,08:00:00,271.5,274.21,251.82,274.15,0
2026-04-17,09:00:00,274.1322,274.91,273.56,273.81,0
